"Havaintoasema","Vuosi","Kuukausi","Päivä","Aika [UTC]","Lämpötilan keskiarvo [°C]","Ylin lämpötila [°C]","Alin lämpötila [°C]","Suhteellisen kosteuden keskiarvo [%]","Keskituulen nopeus [m/s]","Kovin keskituulen nopeus [m/s]","Tuulen suunnan keskiarvo [°]","Kovin puuska [m/s]","Tunnin sademäärä [mm]","Ilmanpaineen keskiarvo [hPa]"
"Lappeenranta Lepola","2024","4","18","23:00","-3.3","-3.2","-3.4","63","-","-","-","-","0","1015.1"
"Lappeenranta Lepola","2024","4","19","00:00","-3.3","-3.2","-3.4","60","-","-","-","-","0","1014.5"
"Lappeenranta Lepola","2024","4","19","01:00","-3.1","-3.1","-3.2","61","-","-","-","-","0","1014"
"Lappeenranta Lepola","2024","4","19","02:00","-3.3","-3.1","-3.4","63","-","-","-","-","0","1013.6"
"Lappeenranta Lepola","2024","4","19","03:00","-3.5","-3.4","-3.6","63","-","-","-","-","0","1013.1"
"Lappeenranta Lepola","2024","4","19","04:00","-3.8","-3.6","-3.8","65","-","-","-","-","0","1012.6"
"Lappeenranta Lepola","2024","4","19","05:00","-4","-3.8","-4.3","69","-","-","-","-","0","1012.2"
"Lappeenranta Lepola","2024","4","19","06:00","-4.1","-3.9","-4.4","68","-","-","-","-","0","1011.6"
"Lappeenranta Lepola","2024","4","19","07:00","-4.1","-3.8","-4.3","68","-","-","-","-","0","1010.7"
"Lappeenranta Lepola","2024","4","19","08:00","-4","-3.6","-4.2","68","-","-","-","-","0","1009.9"
"Lappeenranta Lepola","2024","4","19","09:00","-3.6","-3.4","-3.8","67","-","-","-","-","0","1009.2"
"Lappeenranta Lepola","2024","4","19","10:00","-3.3","-3.1","-3.5","66","-","-","-","-","0","1008.4"
"Lappeenranta Lepola","2024","4","19","11:00","-3.3","-3.1","-3.5","65","-","-","-","-","0","1007.3"
"Lappeenranta Lepola","2024","4","19","12:00","-3.1","-2.9","-3.3","65","-","-","-","-","0","1006.5"
"Lappeenranta Lepola","2024","4","19","13:00","-3.2","-2.8","-3.9","73","-","-","-","-","0.1","1006.1"
"Lappeenranta Lepola","2024","4","19","14:00","-4","-3.9","-4.1","87","-","-","-","-","0.4","1005.2"
"Lappeenranta Lepola","2024","4","19","15:00","-4.1","-3.9","-4.3","89","-","-","-","-","0.5","1004.4"
"Lappeenranta Lepola","2024","4","19","16:00","-4.2","-4.1","-4.3","91","-","-","-","-","0.9","1003.7"
"Lappeenranta Lepola","2024","4","19","17:00","-4.2","-4.1","-4.2","92","-","-","-","-","0.9","1002.7"
"Lappeenranta Lepola","2024","4","19","18:00","-4.2","-4.1","-4.3","92","-","-","-","-","1.4","1002.1"
"Lappeenranta Lepola","2024","4","19","19:00","-4.5","-4.3","-4.7","92","-","-","-","-","1.7","1001.5"
"Lappeenranta Lepola","2024","4","19","20:00","-4.8","-4.7","-5","91","-","-","-","-","1.1","1000.9"
"Lappeenranta Lepola","2024","4","19","21:00","-5.1","-5","-5.2","89","-","-","-","-","0.4","1000.3"
"Lappeenranta Lepola","2024","4","19","22:00","-5.4","-5.2","-5.4","88","-","-","-","-","0.2","999.8"
"Lappeenranta Lepola","2024","4","19","23:00","-5.6","-5.4","-5.6","90","-","-","-","-","0.4","999.6"
"Lappeenranta Lepola","2024","4","20","00:00","-5.7","-5.7","-5.8","90","-","-","-","-","0.3","999.5"
"Lappeenranta Lepola","2024","4","20","01:00","-5.8","-5.7","-5.9","88","-","-","-","-","0.1","999.7"
"Lappeenranta Lepola","2024","4","20","02:00","-6.1","-5.9","-6.2","88","-","-","-","-","0.1","1000"
"Lappeenranta Lepola","2024","4","20","03:00","-6.2","-6.1","-6.2","88","-","-","-","-","0.1","1000.2"
"Lappeenranta Lepola","2024","4","20","04:00","-6.1","-5.9","-6.2","87","-","-","-","-","0","1000.7"
"Lappeenranta Lepola","2024","4","20","05:00","-5.8","-5.6","-6","82","-","-","-","-","0","1001.4"
"Lappeenranta Lepola","2024","4","20","06:00","-5.5","-5.3","-5.7","80","-","-","-","-","0","1002.2"
"Lappeenranta Lepola","2024","4","20","07:00","-5.2","-4.9","-5.5","79","-","-","-","-","0","1003.2"
"Lappeenranta Lepola","2024","4","20","08:00","-4.7","-4.4","-4.9","76","-","-","-","-","0","1004.3"
"Lappeenranta Lepola","2024","4","20","09:00","-3.9","-3.6","-4.6","74","-","-","-","-","0","1005.4"
"Lappeenranta Lepola","2024","4","20","10:00","-3.6","-3.3","-3.8","74","-","-","-","-","0","1006.7"
"Lappeenranta Lepola","2024","4","20","11:00","-3.2","-2.8","-3.6","70","-","-","-","-","0","1008"
"Lappeenranta Lepola","2024","4","20","12:00","-2.8","-2.5","-3.1","70","-","-","-","-","0","1009.2"
"Lappeenranta Lepola","2024","4","20","13:00","-2.4","-2","-2.7","69","-","-","-","-","0","1010.3"
"Lappeenranta Lepola","2024","4","20","14:00","-2.3","-2","-2.4","73","-","-","-","-","0","1011.6"
"Lappeenranta Lepola","2024","4","20","15:00","-2.2","-2","-2.5","74","-","-","-","-","0","1012.7"
"Lappeenranta Lepola","2024","4","20","16:00","-2.3","-1.9","-2.4","76","-","-","-","-","0","1013.6"
"Lappeenranta Lepola","2024","4","20","17:00","-2.3","-2.1","-2.6","74","-","-","-","-","0","1014.4"
"Lappeenranta Lepola","2024","4","20","18:00","-3.2","-2.6","-3.6","81","-","-","-","-","0","1015.6"
"Lappeenranta Lepola","2024","4","20","19:00","-4.1","-3.6","-5","91","-","-","-","-","0","1016.5"
"Lappeenranta Lepola","2024","4","20","20:00","-5","-4.9","-5.2","94","-","-","-","-","0","1017.4"
"Lappeenranta Lepola","2024","4","20","21:00","-5","-4.9","-5.3","93","-","-","-","-","0","1018.4"
"Lappeenranta Lepola","2024","4","20","22:00","-5.4","-5","-6.4","93","-","-","-","-","0","1019.3"
"Lappeenranta Lepola","2024","4","20","23:00","-5.5","-5.2","-6.3","94","-","-","-","-","0","1020.4"
"Lappeenranta Lepola","2024","4","21","00:00","-5.2","-4.9","-5.6","94","-","-","-","-","0","1021"
"Lappeenranta Lepola","2024","4","21","01:00","-5.1","-5","-5.3","91","-","-","-","-","0","1021.7"
"Lappeenranta Lepola","2024","4","21","02:00","-4.9","-4.8","-5","90","-","-","-","-","0","1022.4"
"Lappeenranta Lepola","2024","4","21","03:00","-5.1","-5","-5.2","91","-","-","-","-","0","1023.2"
"Lappeenranta Lepola","2024","4","21","04:00","-4.7","-4.4","-5.2","91","-","-","-","-","0","1024.2"
"Lappeenranta Lepola","2024","4","21","05:00","-4.2","-4","-4.4","91","-","-","-","-","0","1025"
"Lappeenranta Lepola","2024","4","21","06:00","-3.9","-3.6","-4.1","90","-","-","-","-","0","1025.7"
"Lappeenranta Lepola","2024","4","21","07:00","-3.4","-3.2","-3.6","86","-","-","-","-","0","1026.4"
"Lappeenranta Lepola","2024","4","21","08:00","-2.7","-2.2","-3.2","82","-","-","-","-","0","1027.5"
"Lappeenranta Lepola","2024","4","21","09:00","-1.9","-1.6","-2.3","77","-","-","-","-","0","1028.2"
"Lappeenranta Lepola","2024","4","21","10:00","-0.7","0.1","-1.6","73","-","-","-","-","0","1028.4"
"Lappeenranta Lepola","2024","4","21","11:00","0.1","0.4","-0.5","70","-","-","-","-","0","1028.7"
"Lappeenranta Lepola","2024","4","21","12:00","0.4","0.7","0.1","68","-","-","-","-","0","1028.9"
"Lappeenranta Lepola","2024","4","21","13:00","1","1.2","0.6","66","-","-","-","-","0","1028.7"
"Lappeenranta Lepola","2024","4","21","14:00","1.3","1.6","1.1","65","-","-","-","-","0","1029"
"Lappeenranta Lepola","2024","4","21","15:00","1.4","1.5","1.2","63","-","-","-","-","0","1028.9"
"Lappeenranta Lepola","2024","4","21","16:00","1.3","1.5","1.2","62","-","-","-","-","0","1028.8"
"Lappeenranta Lepola","2024","4","21","17:00","1","1.2","0.6","63","-","-","-","-","0","1029"
"Lappeenranta Lepola","2024","4","21","18:00","0.2","0.6","-0.3","65","-","-","-","-","0","1029.2"
"Lappeenranta Lepola","2024","4","21","19:00","-0.7","-0.3","-0.9","68","-","-","-","-","0","1029.2"
"Lappeenranta Lepola","2024","4","21","20:00","-1.1","-0.9","-1.3","69","-","-","-","-","0","1029"
"Lappeenranta Lepola","2024","4","21","21:00","-1.5","-1.3","-1.8","72","-","-","-","-","0","1029.2"
"Lappeenranta Lepola","2024","4","21","22:00","-1.9","-1.8","-2","72","-","-","-","-","0","1028.6"
"Lappeenranta Lepola","2024","4","21","23:00","-2.1","-1.9","-2.2","71","-","-","-","-","0","1027.4"
"Lappeenranta Lepola","2024","4","22","00:00","-2.1","-1.9","-2.2","73","-","-","-","-","0","1026.3"
"Lappeenranta Lepola","2024","4","22","01:00","-1.9","-1.8","-2","77","-","-","-","-","0","1025.3"
"Lappeenranta Lepola","2024","4","22","02:00","-1.8","-1.8","-1.9","78","-","-","-","-","0","1024"
"Lappeenranta Lepola","2024","4","22","03:00","-1.8","-1.7","-1.9","80","-","-","-","-","0","1023.2"
"Lappeenranta Lepola","2024","4","22","04:00","-1.8","-1.7","-1.9","81","-","-","-","-","0","1022"
"Lappeenranta Lepola","2024","4","22","05:00","-1.7","-1.7","-1.8","84","-","-","-","-","0","1021.1"
"Lappeenranta Lepola","2024","4","22","06:00","-1.6","-1.5","-1.7","89","-","-","-","-","0.3","1020.2"
"Lappeenranta Lepola","2024","4","22","07:00","-1.4","-1.3","-1.6","93","-","-","-","-","1.2","1018.9"
"Lappeenranta Lepola","2024","4","22","08:00","-1.2","-1.1","-1.3","94","-","-","-","-","0.6","1017.7"
"Lappeenranta Lepola","2024","4","22","09:00","-1","-0.9","-1.1","94","-","-","-","-","1.2","1017.2"
"Lappeenranta Lepola","2024","4","22","10:00","-0.8","-0.7","-0.9","94","-","-","-","-","0.3","1016.2"
"Lappeenranta Lepola","2024","4","22","11:00","-0.6","-0.4","-0.7","94","-","-","-","-","0.7","1014.7"
"Lappeenranta Lepola","2024","4","22","12:00","-0.3","-0.1","-0.4","94","-","-","-","-","0.2","1014.5"
"Lappeenranta Lepola","2024","4","22","13:00","0","0.1","-0.2","94","-","-","-","-","0","1013.9"
"Lappeenranta Lepola","2024","4","22","14:00","0.2","0.3","0.1","94","-","-","-","-","0","1013.2"
"Lappeenranta Lepola","2024","4","22","15:00","0.3","0.4","0.3","94","-","-","-","-","0","1012.1"
"Lappeenranta Lepola","2024","4","22","16:00","0.4","0.4","0.4","95","-","-","-","-","0.1","1011.2"
"Lappeenranta Lepola","2024","4","22","17:00","0.5","0.5","0.4","96","-","-","-","-","0.1","1010.1"
"Lappeenranta Lepola","2024","4","22","18:00","0.6","0.6","0.5","97","-","-","-","-","2.4","1009.1"
"Lappeenranta Lepola","2024","4","22","19:00","0.8","0.9","0.6","97","-","-","-","-","1","1008.2"
"Lappeenranta Lepola","2024","4","22","20:00","0.9","1","0.9","97","-","-","-","-","1","1007.4"
"Lappeenranta Lepola","2024","4","22","21:00","1.1","1.1","1","97","-","-","-","-","0.4","1006.6"
"Lappeenranta Lepola","2024","4","22","22:00","1.3","1.4","1.1","98","-","-","-","-","0","1005.3"
"Lappeenranta Lepola","2024","4","22","23:00","1.5","1.6","1.3","98","-","-","-","-","0","1004.1"
"Lappeenranta Lepola","2024","4","23","00:00","1.5","1.5","1.4","98","-","-","-","-","0","1004.1"
"Lappeenranta Lepola","2024","4","23","01:00","1.3","1.4","1.3","98","-","-","-","-","0","1003.4"
"Lappeenranta Lepola","2024","4","23","02:00","1.4","1.4","1.3","99","-","-","-","-","0.1","1002.8"
"Lappeenranta Lepola","2024","4","23","03:00","1.3","1.4","1.3","99","-","-","-","-","0.1","1002.4"
"Lappeenranta Lepola","2024","4","23","04:00","1.4","1.6","1.3","99","-","-","-","-","0","1002.1"
"Lappeenranta Lepola","2024","4","23","05:00","1.6","1.9","1.4","99","-","-","-","-","0.3","1002.2"
"Lappeenranta Lepola","2024","4","23","06:00","1.8","2.1","1.5","99","-","-","-","-","0","1002.7"
"Lappeenranta Lepola","2024","4","23","07:00","1.5","1.6","1.5","99","-","-","-","-","0","1003.4"
"Lappeenranta Lepola","2024","4","23","08:00","1.6","1.6","1.5","97","-","-","-","-","0","1004.7"
"Lappeenranta Lepola","2024","4","23","09:00","1.3","1.6","1","94","-","-","-","-","0","1005.8"
"Lappeenranta Lepola","2024","4","23","10:00","1.1","1.7","0.6","91","-","-","-","-","0","1006.8"
"Lappeenranta Lepola","2024","4","23","11:00","1.2","1.4","0.8","91","-","-","-","-","0","1007.8"
"Lappeenranta Lepola","2024","4","23","12:00","1.4","1.7","1.1","89","-","-","-","-","0","1008.5"
"Lappeenranta Lepola","2024","4","23","13:00","0.8","1.3","0.4","93","-","-","-","-","0.1","1009.2"
"Lappeenranta Lepola","2024","4","23","14:00","0.9","1.4","0.5","90","-","-","-","-","0","1009.8"
"Lappeenranta Lepola","2024","4","23","15:00","0.7","0.9","0.5","90","-","-","-","-","0","1010.4"
"Lappeenranta Lepola","2024","4","23","16:00","0.6","0.7","0.5","91","-","-","-","-","0","1010.9"
"Lappeenranta Lepola","2024","4","23","17:00","0.6","0.7","0.4","87","-","-","-","-","0","1011.3"
"Lappeenranta Lepola","2024","4","23","18:00","-0.1","0.4","-0.3","94","-","-","-","-","0.1","1011.9"
"Lappeenranta Lepola","2024","4","23","19:00","-0.4","-0.2","-0.6","94","-","-","-","-","0","1012.5"
"Lappeenranta Lepola","2024","4","23","20:00","-0.5","-0.4","-0.5","96","-","-","-","-","0","1013"
"Lappeenranta Lepola","2024","4","23","21:00","-0.6","-0.5","-0.7","95","-","-","-","-","0.1","1013.6"
"Lappeenranta Lepola","2024","4","23","22:00","-0.6","-0.5","-0.7","90","-","-","-","-","0","1014"
"Lappeenranta Lepola","2024","4","23","23:00","-0.7","-0.6","-0.8","86","-","-","-","-","0","1014.5"
"Lappeenranta Lepola","2024","4","24","00:00","-0.9","-0.8","-1","85","-","-","-","-","0","1015"
"Lappeenranta Lepola","2024","4","24","01:00","-0.9","-0.8","-0.9","85","-","-","-","-","0","1015.2"
"Lappeenranta Lepola","2024","4","24","02:00","-1.3","-0.9","-1.4","94","-","-","-","-","0.2","1015.1"
"Lappeenranta Lepola","2024","4","24","03:00","-0.9","-0.7","-1.2","94","-","-","-","-","0","1015"
"Lappeenranta Lepola","2024","4","24","04:00","-0.5","-0.3","-0.7","92","-","-","-","-","0","1015.1"
"Lappeenranta Lepola","2024","4","24","05:00","-0.2","0","-0.4","94","-","-","-","-","0","1015.3"
"Lappeenranta Lepola","2024","4","24","06:00","0.2","0.5","0","93","-","-","-","-","0","1015.6"
"Lappeenranta Lepola","2024","4","24","07:00","0.7","0.9","0.5","89","-","-","-","-","0","1016.1"
"Lappeenranta Lepola","2024","4","24","08:00","1.2","1.7","0.9","86","-","-","-","-","0","1016.5"
"Lappeenranta Lepola","2024","4","24","09:00","2.5","3.1","1.6","78","-","-","-","-","0","1016.4"
"Lappeenranta Lepola","2024","4","24","10:00","3.3","3.7","2.8","70","-","-","-","-","0","1016.4"
"Lappeenranta Lepola","2024","4","24","11:00","4","4.5","3.7","63","-","-","-","-","0","1016.4"
"Lappeenranta Lepola","2024","4","24","12:00","4.5","5.1","4.2","57","-","-","-","-","0","1016.3"
"Lappeenranta Lepola","2024","4","24","13:00","4.2","4.5","3.8","64","-","-","-","-","0","1016.4"
"Lappeenranta Lepola","2024","4","24","14:00","3.9","4","3.8","68","-","-","-","-","0","1016.5"
"Lappeenranta Lepola","2024","4","24","15:00","3.6","4","3.3","70","-","-","-","-","0","1016.4"
"Lappeenranta Lepola","2024","4","24","16:00","3.6","3.7","3.5","70","-","-","-","-","0","1016.3"
"Lappeenranta Lepola","2024","4","24","17:00","3.4","3.5","3.1","71","-","-","-","-","0","1016.2"
"Lappeenranta Lepola","2024","4","24","18:00","3","3.2","2.7","74","-","-","-","-","0","1016.2"
"Lappeenranta Lepola","2024","4","24","19:00","2.3","2.7","2.1","78","-","-","-","-","0","1016.2"
"Lappeenranta Lepola","2024","4","24","20:00","2","2.2","1.9","78","-","-","-","-","0","1016.3"
"Lappeenranta Lepola","2024","4","24","21:00","1.9","2.2","1.6","76","-","-","-","-","0","1016.2"
"Lappeenranta Lepola","2024","4","24","22:00","1.9","2","1.7","76","-","-","-","-","0","1016.1"
"Lappeenranta Lepola","2024","4","24","23:00","1.8","2","1.7","79","-","-","-","-","0","1015.8"
"Lappeenranta Lepola","2024","4","25","00:00","2","2.1","1.8","78","-","-","-","-","0","1015.1"
"Lappeenranta Lepola","2024","4","25","01:00","1.8","1.9","1.7","79","-","-","-","-","0","1014.5"
"Lappeenranta Lepola","2024","4","25","02:00","1.7","1.8","1.6","78","-","-","-","-","0","1014"
"Lappeenranta Lepola","2024","4","25","03:00","1.6","1.8","1.5","77","-","-","-","-","0","1013.3"
"Lappeenranta Lepola","2024","4","25","04:00","1.8","1.9","1.7","75","-","-","-","-","0","1012.6"
"Lappeenranta Lepola","2024","4","25","05:00","2.1","2.6","1.9","75","-","-","-","-","0","1011.8"
"Lappeenranta Lepola","2024","4","25","06:00","2.8","2.9","2.5","71","-","-","-","-","0","1010.8"
"Lappeenranta Lepola","2024","4","25","07:00","3.3","3.7","2.8","69","-","-","-","-","0","1010.1"
"Lappeenranta Lepola","2024","4","25","08:00","4.1","4.4","3.7","65","-","-","-","-","0","1009.4"
"Lappeenranta Lepola","2024","4","25","09:00","3.5","4","3.1","72","-","-","-","-","0","1008.7"
"Lappeenranta Lepola","2024","4","25","10:00","3.5","3.7","3.3","74","-","-","-","-","0","1007.8"
"Lappeenranta Lepola","2024","4","25","11:00","3.1","3.8","2","79","-","-","-","-","0.6","1007.1"
"Lappeenranta Lepola","2024","4","25","12:00","2","2.1","1.8","93","-","-","-","-","1","1006.8"
"Lappeenranta Lepola","2024","4","25","13:00","1.9","2.1","1.7","94","-","-","-","-","1.4","1006.1"
"Lappeenranta Lepola","2024","4","25","14:00","2","2.2","1.8","94","-","-","-","-","1.1","1005.6"
"Lappeenranta Lepola","2024","4","25","15:00","1.2","1.8","0.7","95","-","-","-","-","1.8","1005.2"
"Lappeenranta Lepola","2024","4","25","16:00","0.9","1.1","0.7","96","-","-","-","-","0.9","1004.6"
"Lappeenranta Lepola","2024","4","25","17:00","1.3","1.5","1.1","96","-","-","-","-","0.7","1004"
"Lappeenranta Lepola","2024","4","25","18:00","1.6","1.7","1.4","96","-","-","-","-","0","1003.7"
"Lappeenranta Lepola","2024","4","25","19:00","1.8","1.9","1.7","97","-","-","-","-","0","1003.5"
"Lappeenranta Lepola","2024","4","25","20:00","2","2.1","1.9","97","-","-","-","-","0","1003.5"
"Lappeenranta Lepola","2024","4","25","21:00","2.1","2.1","2","98","-","-","-","-","0.3","1003.6"
"Lappeenranta Lepola","2024","4","25","22:00","1.8","2","1.7","98","-","-","-","-","0.1","1003.8"
"Lappeenranta Lepola","2024","4","25","23:00","1.7","1.8","1.7","99","-","-","-","-","0","1004.3"
"Lappeenranta Lepola","2024","4","26","00:00","1.7","1.8","1.7","99","-","-","-","-","0","1004.9"
"Lappeenranta Lepola","2024","4","26","01:00","1.7","1.8","1.7","99","-","-","-","-","0","1005.4"
"Lappeenranta Lepola","2024","4","26","02:00","1.7","1.8","1.7","99","-","-","-","-","0","1006"
"Lappeenranta Lepola","2024","4","26","03:00","1.8","1.9","1.8","99","-","-","-","-","0","1006.6"
"Lappeenranta Lepola","2024","4","26","04:00","1.9","2","1.9","99","-","-","-","-","0","1007.1"
"Lappeenranta Lepola","2024","4","26","05:00","2.1","2.2","1.9","99","-","-","-","-","0","1007.5"
"Lappeenranta Lepola","2024","4","26","06:00","2.3","2.5","2.1","98","-","-","-","-","0","1008"
"Lappeenranta Lepola","2024","4","26","07:00","2.7","3","2.5","95","-","-","-","-","0","1008.8"
"Lappeenranta Lepola","2024","4","26","08:00","3.2","3.4","3","91","-","-","-","-","0","1009.5"
"Lappeenranta Lepola","2024","4","26","09:00","3.6","3.8","3.3","88","-","-","-","-","0","1010.2"
"Lappeenranta Lepola","2024","4","26","10:00","3.8","3.9","3.6","89","-","-","-","-","0","1010.5"
"Lappeenranta Lepola","2024","4","26","11:00","4.1","4.5","3.8","90","-","-","-","-","0","1010.8"
"Lappeenranta Lepola","2024","4","26","12:00","4.7","5","4.3","86","-","-","-","-","0","1011.3"
"Lappeenranta Lepola","2024","4","26","13:00","5.6","6","5.1","81","-","-","-","-","0","1011.4"
"Lappeenranta Lepola","2024","4","26","14:00","6.1","6.3","5.9","78","-","-","-","-","0","1011.7"
"Lappeenranta Lepola","2024","4","26","15:00","6.3","6.5","6.1","78","-","-","-","-","0","1011.9"
"Lappeenranta Lepola","2024","4","26","16:00","6.5","6.7","6.4","74","-","-","-","-","0","1012.3"
"Lappeenranta Lepola","2024","4","26","17:00","6.3","6.5","5.8","71","-","-","-","-","0","1012.6"
"Lappeenranta Lepola","2024","4","26","18:00","4.9","5.9","3.6","76","-","-","-","-","0","1013"
"Lappeenranta Lepola","2024","4","26","19:00","2.9","3.6","2.5","89","-","-","-","-","0","1013.3"
"Lappeenranta Lepola","2024","4","26","20:00","2.5","2.7","2.4","91","-","-","-","-","0","1013.7"
"Lappeenranta Lepola","2024","4","26","21:00","2","2.3","1.6","95","-","-","-","-","0","1014"
"Lappeenranta Lepola","2024","4","26","22:00","1.7","2.1","1.3","96","-","-","-","-","0","1014.2"
"Lappeenranta Lepola","2024","4","26","23:00","1","1.5","0.2","98","-","-","-","-","0","1014.5"
"Lappeenranta Lepola","2024","4","27","00:00","0.6","0.8","0.2","98","-","-","-","-","0","1014.9"
"Lappeenranta Lepola","2024","4","27","01:00","0.6","0.8","0.4","99","-","-","-","-","0","1015.4"
"Lappeenranta Lepola","2024","4","27","02:00","0.9","1.1","0.7","99","-","-","-","-","0","1015.7"
"Lappeenranta Lepola","2024","4","27","03:00","0.4","0.8","0","98","-","-","-","-","0","1016.1"
"Lappeenranta Lepola","2024","4","27","04:00","0.1","0.9","-0.3","98","-","-","-","-","0","1016.3"
"Lappeenranta Lepola","2024","4","27","05:00","2.3","3.6","0.9","94","-","-","-","-","0","1016.6"
"Lappeenranta Lepola","2024","4","27","06:00","4.1","4.8","3.6","81","-","-","-","-","0","1016.9"
"Lappeenranta Lepola","2024","4","27","07:00","6","6.6","4.8","73","-","-","-","-","0","1017.3"
"Lappeenranta Lepola","2024","4","27","08:00","7.4","8.2","6.5","67","-","-","-","-","0","1017.7"
"Lappeenranta Lepola","2024","4","27","09:00","8.8","9.3","8.1","57","-","-","-","-","0","1018"
"Lappeenranta Lepola","2024","4","27","10:00","9.8","10.4","9","50","-","-","-","-","0","1018.2"
"Lappeenranta Lepola","2024","4","27","11:00","10.4","10.9","9.8","42","-","-","-","-","0","1018.6"
"Lappeenranta Lepola","2024","4","27","12:00","11.1","11.8","10.3","43","-","-","-","-","0","1018.7"
"Lappeenranta Lepola","2024","4","27","13:00","11.2","11.8","10.6","43","-","-","-","-","0","1018.8"
"Lappeenranta Lepola","2024","4","27","14:00","11.3","12.1","10.7","43","-","-","-","-","0","1019"
"Lappeenranta Lepola","2024","4","27","15:00","11.2","11.9","10.7","45","-","-","-","-","0","1019.2"
"Lappeenranta Lepola","2024","4","27","16:00","11.2","11.4","10.9","46","-","-","-","-","0","1019.4"
"Lappeenranta Lepola","2024","4","27","17:00","10.5","10.9","10.2","47","-","-","-","-","0","1019.8"
"Lappeenranta Lepola","2024","4","27","18:00","9.4","10.2","8.3","54","-","-","-","-","0","1020.2"
"Lappeenranta Lepola","2024","4","27","19:00","7.3","8.3","6.1","63","-","-","-","-","0","1020.5"
"Lappeenranta Lepola","2024","4","27","20:00","6","6.3","5.7","70","-","-","-","-","0","1020.7"
"Lappeenranta Lepola","2024","4","27","21:00","6","6.5","5.7","70","-","-","-","-","0","1021"
"Lappeenranta Lepola","2024","4","27","22:00","6.4","6.5","6.3","67","-","-","-","-","0","1021"
"Lappeenranta Lepola","2024","4","27","23:00","5.6","6.4","4.8","77","-","-","-","-","0.2","1021.3"
"Lappeenranta Lepola","2024","4","28","00:00","6","6.1","5.7","72","-","-","-","-","0","1020.9"
"Lappeenranta Lepola","2024","4","28","01:00","6","6.1","5.8","68","-","-","-","-","0","1020.5"
"Lappeenranta Lepola","2024","4","28","02:00","5.5","6","5.2","70","-","-","-","-","0","1020.5"
"Lappeenranta Lepola","2024","4","28","03:00","5","5.2","4.3","73","-","-","-","-","0","1020.7"
"Lappeenranta Lepola","2024","4","28","04:00","5.3","5.9","5.1","75","-","-","-","-","0","1020.7"
"Lappeenranta Lepola","2024","4","28","05:00","6.8","7.6","6","77","-","-","-","-","0","1020.9"
"Lappeenranta Lepola","2024","4","28","06:00","8.8","9.4","7.7","73","-","-","-","-","0","1021"
"Lappeenranta Lepola","2024","4","28","07:00","9.8","10.5","9.2","66","-","-","-","-","0","1021.2"
"Lappeenranta Lepola","2024","4","28","08:00","11.4","12.1","10.4","50","-","-","-","-","0","1021.4"
"Lappeenranta Lepola","2024","4","28","09:00","11.9","12.3","11.6","43","-","-","-","-","0","1021.9"
"Lappeenranta Lepola","2024","4","28","10:00","12.1","12.7","11.5","46","-","-","-","-","0","1022.5"
"Lappeenranta Lepola","2024","4","28","11:00","11.7","12.1","11.4","48","-","-","-","-","0","1023.1"
"Lappeenranta Lepola","2024","4","28","12:00","11.4","11.8","11","48","-","-","-","-","0","1023.9"
"Lappeenranta Lepola","2024","4","28","13:00","10.9","11.4","10.6","49","-","-","-","-","0","1024.5"
"Lappeenranta Lepola","2024","4","28","14:00","10.7","10.9","10.5","50","-","-","-","-","0","1024.9"
"Lappeenranta Lepola","2024","4","28","15:00","10.3","10.7","9.8","51","-","-","-","-","0","1025.4"
"Lappeenranta Lepola","2024","4","28","16:00","9.4","9.8","9","56","-","-","-","-","0","1025.7"
"Lappeenranta Lepola","2024","4","28","17:00","9","9.1","8.8","58","-","-","-","-","0","1026"
"Lappeenranta Lepola","2024","4","28","18:00","8.5","8.8","7.6","60","-","-","-","-","0","1026.3"
"Lappeenranta Lepola","2024","4","28","19:00","7","7.5","6.5","67","-","-","-","-","0","1026.6"
"Lappeenranta Lepola","2024","4","28","20:00","6.1","6.6","5.8","73","-","-","-","-","0","1027"
"Lappeenranta Lepola","2024","4","28","21:00","5.7","6","5.5","74","-","-","-","-","0","1027.4"
"Lappeenranta Lepola","2024","4","28","22:00","5.8","6.2","5.4","76","-","-","-","-","0","1027.7"
"Lappeenranta Lepola","2024","4","28","23:00","6.2","6.4","5.8","71","-","-","-","-","0","1028"
"Lappeenranta Lepola","2024","4","29","00:00","5.9","6.4","5.6","72","-","-","-","-","0","1028.1"
"Lappeenranta Lepola","2024","4","29","01:00","5.3","5.5","5.2","75","-","-","-","-","0","1027.9"
"Lappeenranta Lepola","2024","4","29","02:00","5.3","5.5","5.2","75","-","-","-","-","0","1028"
"Lappeenranta Lepola","2024","4","29","03:00","5.3","5.3","5.1","75","-","-","-","-","0","1027.6"
"Lappeenranta Lepola","2024","4","29","04:00","5.1","5.4","5","76","-","-","-","-","0","1027.7"
"Lappeenranta Lepola","2024","4","29","05:00","6.5","7.8","5.5","71","-","-","-","-","0","1027.6"
"Lappeenranta Lepola","2024","4","29","06:00","8.7","9.8","7.8","63","-","-","-","-","0","1027.3"
"Lappeenranta Lepola","2024","4","29","07:00","11.2","12.4","9.8","57","-","-","-","-","0","1026.9"
"Lappeenranta Lepola","2024","4","29","08:00","13.5","14.8","12.4","51","-","-","-","-","0","1026.7"
"Lappeenranta Lepola","2024","4","29","09:00","15.5","16.6","14.4","48","-","-","-","-","0","1026.6"
"Lappeenranta Lepola","2024","4","29","10:00","17.6","18.5","16.6","43","-","-","-","-","0","1026.4"
